epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.7206,2.84693,3.99863,1.9877,0.00077,0.01493,0.0004,0.00016,2.40617,4.00278,1.70542,1.667e-05,1.667e-05,1.667e-05
2,34.7047,2.84071,3.9751,1.96253,0.00118,0.02239,0.00062,0.00022,2.27967,3.97535,1.64866,4.95149e-05,4.95149e-05,4.95149e-05
3,45.2998,2.43823,3.85416,1.95952,0.00198,0.03731,0.00106,0.00038,2.13143,3.93384,1.55856,8.16997e-05,8.16997e-05,8.16997e-05
4,56.5239,2.49813,3.85367,1.77144,0.0041,0.07053,0.00222,0.00083,1.89928,3.89606,1.43718,0.000113224,0.000113224,0.000113224
5,66.7798,2.23668,3.74589,1.73525,0.00632,0.09965,0.0035,0.00147,1.73372,3.8285,1.34265,0.000144089,0.000144089,0.000144089
6,77.1675,2.30086,3.62455,1.66069,0.01095,0.16946,0.00654,0.0035,1.67467,3.7508,1.28783,0.000174293,0.000174293,0.000174293
7,87.8972,2.04998,3.3131,1.57812,0.00504,0.08,0.0029,0.00153,1.66919,3.67703,1.25421,0.000203837,0.000203837,0.000203837
8,98.7383,2.219,3.10097,1.55809,0.00464,0.07253,0.00396,0.00138,1.6937,3.59142,1.23711,0.000232722,0.000232722,0.000232722
9,109.186,2.15364,2.95926,1.4731,0.00627,0.09829,0.00883,0.00227,1.67926,3.52913,1.22007,0.000260946,0.000260946,0.000260946
10,119.726,2.01427,2.77595,1.41299,0.01236,0.19248,0.06374,0.03787,1.6733,3.45929,1.21698,0.000288509,0.000288509,0.000288509
11,130.363,1.90129,2.52502,1.35248,0.01702,0.26902,0.19075,0.11779,1.66358,3.36543,1.20064,0.000315413,0.000315413,0.000315413
12,140.626,1.95498,2.42712,1.39813,0.02477,0.41063,0.27963,0.16705,1.67315,3.28117,1.20869,0.000341657,0.000341657,0.000341657
13,151.549,1.97859,2.33732,1.35009,0.02738,0.46351,0.31709,0.18352,1.71665,3.20449,1.22523,0.00036724,0.00036724,0.00036724
14,162.004,1.92354,2.07656,1.35817,0.0346,0.56999,0.34663,0.18023,1.78729,3.1412,1.26859,0.000392163,0.000392163,0.000392163
15,173.02,1.94167,1.91977,1.31308,0.03838,0.62696,0.36847,0.19557,1.77885,3.09558,1.27708,0.000416427,0.000416427,0.000416427
16,183.705,1.80272,1.83742,1.24194,0.04022,0.65207,0.383,0.21961,1.7232,3.05723,1.26453,0.00044003,0.00044003,0.00044003
17,194.4,1.82891,2.02806,1.26498,0.03498,0.56798,0.38255,0.21847,1.63038,2.9989,1.22712,0.000462973,0.000462973,0.000462973
18,204.88,1.87002,1.8542,1.26789,0.03357,0.55033,0.36862,0.20985,1.60911,2.96487,1.21242,0.000485255,0.000485255,0.000485255
19,215.385,1.90007,1.77418,1.2746,0.46999,0.33184,0.35315,0.20573,1.66188,3.00561,1.24792,0.000506878,0.000506878,0.000506878
20,225.972,1.78009,1.6909,1.23513,0.47677,0.3384,0.34177,0.1858,1.75297,3.08862,1.29047,0.000527841,0.000527841,0.000527841
21,236.313,1.72957,1.65036,1.30564,0.44722,0.33139,0.29452,0.14458,1.90999,3.20951,1.36867,0.000548143,0.000548143,0.000548143
22,246.57,1.79838,1.72015,1.21688,0.6006,0.24315,0.24941,0.10837,1.99453,3.30666,1.42374,0.000567785,0.000567785,0.000567785
23,257.44,1.85363,1.72025,1.23213,0.93664,0.0841,0.26331,0.11841,1.96553,3.26467,1.40249,0.000586767,0.000586767,0.000586767
24,267.941,1.66842,1.53288,1.1891,0.76112,0.0642,0.28905,0.13976,1.91423,3.14123,1.36448,0.000605089,0.000605089,0.000605089
25,278.165,1.73273,1.61629,1.26191,0.63339,0.10029,0.29417,0.15301,1.88408,3.05833,1.35136,0.000622751,0.000622751,0.000622751
26,288.689,1.76176,1.59528,1.30009,0.54494,0.23101,0.29357,0.14659,1.99936,3.08022,1.40322,0.000639753,0.000639753,0.000639753
27,299.467,1.82489,1.6383,1.27653,0.67145,0.17605,0.30814,0.14266,2.0069,3.03086,1.3989,0.000656095,0.000656095,0.000656095
28,309.897,1.56801,1.51264,1.1629,0.67145,0.17605,0.30814,0.14266,2.0069,3.03086,1.3989,0.000671776,0.000671776,0.000671776
29,320.406,1.50574,1.40926,1.17815,0.80175,0.13727,0.35014,0.1654,1.98651,2.8707,1.3775,0.000686797,0.000686797,0.000686797
30,331.075,1.9013,1.64656,1.20859,0.75568,0.18486,0.4485,0.21862,1.819,2.65687,1.29916,0.000701159,0.000701159,0.000701159
